data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8608329,356,IND102021,102021,"22 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Moga,"Bagha Purana","Langiana Khurd",30.7176,75.0329,1,"Indian Express; Chandigarh Tribune",Subnational-National,"On 22 October 2021, farmers of BKU and SKM staged a protest, in Langiana Khurd (Bagha Purana, Moga district, Punjab), against the visit of SAD leader, demanding action against farm laws. [size=no report]",0,1635273305,IND
8608630,356,IND101977,101977,"21 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union",6,,,0,60,"South Asia",India,Haryana,Sirsa,Ellenabad,Ellenabad,29.4523,74.6693,1,"Hindustan Times",National,"On 21 October 2021, farmers of BKU staged a protest, in Ellenabad (Sirsa district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273305,IND
8608324,356,IND101937,101937,"20 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union",6,,,0,60,"South Asia",India,"Uttar Pradesh",Shamli,Shamli,Shamli,29.4497,77.3095,2,"Amar Ujala; Deccan Herald; Hindustan Times",Subnational-National,"On 20 October 2021, hundreds of BKU farmers staged a protest near Bidauli bridge near Shamli (Shamli district, UP), after Haryana banned entry of paddy-laden tractor trolleys into the state. [size=hundreds]",0,1635273305,IND
8608457,356,IND101866,101866,"19 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India)",6,,,0,60,"South Asia",India,Haryana,Jind,Julana,Julana,29.1264,76.4055,1,"Chandigarh Tribune",Subnational,"On 19 October 2021, farmers staged a protest, in Julana (Jind district, Haryana), against the visit of BJP-JJP members and the farm laws. [size=no report]",0,1635273305,IND
8608869,356,IND101864,101864,"19 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union",6,,,0,60,"South Asia",India,Haryana,"Charkhi Dadri",Dadri,"Charkhi Dadri",28.5916,76.2716,1,"Times of India",National,"On 19 October 2021, farmers of BKU staged a protest, in Charkhi Dadri (Charkhi Dadri district, Haryana), demanding distribution of fertilizers. [size=no report]",0,1635273306,IND
8608294,356,IND101705,101705,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,Ambala,Ambala,Ambala,30.3609,76.7978,2,"Indian Express; Chandigarh Tribune",Subnational-National,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across Ambala district (Ambala district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273304,IND
8608295,356,IND101712,101712,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Haryana,Karnal,Karnal,Karnal,29.6919,76.9844,1,"Hindustan Times; Chandigarh Tribune",Subnational-National,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Karnal (Karnal district, Haryana), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273304,IND
8608297,356,IND101738,101738,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,3,"Indian Express; Chandigarh Tribune; United News of India",Subnational-National,"On 18 October 2021, farmers of BKU and SKM staged protests and blocked trains across 100 locations in Punjab, coded as Chandigarh demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273304,IND
8608299,356,IND101743,101743,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Ferozepore,Firozpur,Ferozepur,30.9257,74.6131,1,"Chandigarh Tribune; Indo-Asian News Service",Subnational-Regional,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Ferozepur (Firozpur, Ferozepore district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273304,IND
8608302,356,IND101768,101768,"18 October 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India); BKU: Bharatiya Kisan Union; SKM: United Farmers Front",6,,,0,60,"South Asia",India,Punjab,Moga,Moga,Moga,30.8138,75.1687,1,"India Blooms News Service; Chandigarh Tribune",Subnational-National,"On 18 October 2021, farmers of BKU and SKM staged a protest and blocked trains in Moga (Moga district, Punjab), demanding police action against the BJP perpetrated violence in Lakhimpur Kheri during the farmers' protest over the farm laws. [size=no report]",0,1635273304,IND
