"ST_NM","id","Sl.No","Total.Holdings.Number","Total.Holdings.Area","Net.Area.Sown","Area.Under.Current.Fallows","Net.Cultivated.Area","Other.Uncultivated.Land..Excluding.Fallow.Land","Fallow.Land.Other.than..Current.Fallows","Culturable.Waste..Land","Total.Uncultivated.Land","Land.Not.Available.for.Cultivation..","Gender","X2019_pop","X2020_pop","X2021_pop"
"andaman & nicobar island","0",1,11954,21220,13355,2828,16183,5037,0,0,5037,0,"Persons",397000,399000,4e+05
"andhra pradesh","1",2,8523910,8004472,6464670,1301011,7765681,238791,0,0,238791,0,"Persons",52221000,52504000,52787000
"arunachal pradesh","2",3,113253,379939,226079,40863,266942,112997,0,0,112997,0,"Persons",1504000,1519000,1533000
"assam","3",4,2741711,2976255,2880198,5191,2885389,90866,0,0,90866,0,"Persons",34293000,34668000,35043000
"bihar","4",5,16412893,6457055,5354194,846933,6201127,255928,0,0,255928,0,"Persons",119520000,121302000,123083000
"chandigarh","5",6,748,913,880,5,885,29,0,0,29,0,"Persons",1179000,1193000,1208000
"chhattisgarh","6",7,4010772,4991729,4632315,189294,4821608,170120,0,0,170120,0,"Persons",28724000,29109000,29493000
"dadara & nagar havelli","7",8,15072,20731,19321,1203,20525,206,0,0,206,0,"Persons",546000,577000,608000
"daman & diu","8",9,8016,2864,2612,139,2751,114,0,0,114,0,"Persons",413000,441000,469000
"goa","9",11,74563,82085,80793,827,81620,465,0,0,465,0,"Persons",1540000,1549000,1559000
"gujarat","10",12,5320626,9977780,9812231,162088,9974319,3461,0,0,3461,0,"Persons",67936000,68862000,69788000
"haryana","11",13,1628015,3608587,3603534,2497,3606031,2556,0,0,2556,0,"Persons",28672000,29077000,29483000
"himachal pradesh","12",14,996809,944227,556576,52113,608689,335538,0,0,335538,0,"Persons",7300000,7347000,7394000
"jammu & kashmir","13",15,1416509,842308,764011,15851,779862,62446,0,0,62446,0,NA,NA,NA,NA
"jharkhand","14",16,2802946,3090734,1486763,1416228,2902991,187743,0,0,187743,0,"Persons",37403000,37937000,38471000
"karnataka","15",17,8680739,11805106,11227161,445635,11672796,132310,0,0,132310,0,"Persons",65798000,66322000,66845000
"kerala","16",18,7583496,1394937,1160825,15589,1176414,218523,0,0,218523,0,"Persons",35125000,35307000,35489000
"lakshadweep","17",19,10017,2659,2139,61,2200,458,0,0,458,0,"Persons",68000,68000,68000
"madhya pradesh","18",20,10003135,15670237,14971906,355230,15327137,343100,0,0,343100,0,"Persons",82232000,83374000,84516000
"maharashtra","19",21,15285439,20506432,17955673,1478355,19434027,1072405,0,0,1072405,0,"Persons",122153000,123295000,124437000
"manipur","20",22,150484,172181,171696,455,172152,29,0,0,29,0,"Persons",3103000,3134000,3165000
"meghalaya","21",23,232397,300080,285447,1966,287413,12667,0,0,12667,0,"Persons",3224000,3256000,3288000
"mizoram","22",24,89774,112465,112465,0,112465,0,0,0,0,0,"Persons",1192000,1204000,1216000
"nagaland","23",25,196532,956439,405565,146569,552134,404306,0,0,404306,0,"Persons",2150000,2171000,2192000
"nct of delhi","24",10,20842,28975,23179,5344,28523,452,0,0,452,0,"Persons",19814000,20193000,20571000
"puducherry","25",27,33840,20864,14918,5270,20188,676,0,0,676,0,"Persons",1504000,1537000,1571000
"punjab","26",28,1092713,3953734,3951337,2237,3953574,160,0,0,160,0,"Persons",29859000,30099000,30339000
"rajasthan","27",29,7654616,20873299,17895835,1490649,19386485,1486815,0,0,1486815,0,"Persons",77264000,78273000,79281000
"sikkim","28",30,71532,90865,70281,5469,75750,15116,0,0,15116,0,"Persons",664000,670000,677000
"tamil nadu","29",31,7937947,5970730,4749668,1045447,5795115,175616,0,0,175616,0,"Persons",75695000,76049000,76402000
"telangana","30",32,5947735,5971814,4249834,1411821,5661655,310159,0,0,310159,0,"Persons",37220000,37473000,37725000
"tripura","31",33,573194,281785,255733,890,256623,25163,0,0,25163,0,"Persons",3992000,4032000,4071000
"uttar pradesh","32",34,23821625,17450370,16475320,871515,17346836,103534,0,0,103534,0,"Persons",224979000,227943000,230907000
"uttarakhand","33",35,881305,747320,655736,53735,709471,37849,0,0,37849,0,"Persons",11141000,11270000,11399000
"west bengal","34",36,7242732,5486859,5173944,164706,5338650,148209,0,0,148209,0,"Persons",96906000,97516000,98125000
"odisha","35",26,4865850,4619289,4329558,266896,4596454,22834,0,0,22834,0,"Persons",45004000,45350000,45696000
